Name,TalkTitle,Link,Date,Theme,TalkFormat
James Kent,Open Science Room Opening ft. BIDS annual updates,/panel/#opening-bids-updates,"June 15, 2026","Open Science Room Opening ft. BIDS annual updates",Round Table Moderator
James Kent,Sharing Data Across Borders,/panel/#sharing-data-across-borders,"June 15, 2026",Sharing Data Across Borders,Panel Moderator
James Kent,How to Communicate Your Science to a Broader Audience,/panel/#communicate-science,"June 15, 2026",How to Communicate Your Science to a Broader Audience,Panel Moderator
James Kent,"What’s/who’s missing in the Era of Large Data?",/tabletalk/#missing-large-data,"June 15, 2026","What’s/who’s missing in the Era of Large Data?",Table Talk Moderator
James Kent,Using LLMs to Lower the Barrier to Entry to Open Science,/tabletalk/#llms-open-science,"June 16, 2026",Using LLMs to Lower the Barrier to Entry to Open Science,Table Talk Moderator
James Kent,Career Journeys in Open Science,/panel/#career-journeys,"June 17, 2026",Career Journeys in Open Science,Panel Moderator
James Kent,Ten years of OSSIG - historical perspectives on open science at OHBM,/panel/#ten-years-ossig,"June 17, 2026","Ten years of OSSIG - historical perspectives on open science at OHBM",Panel Moderator
Gaëlle Leroux,Sharing Data Across Borders,/panel/#sharing-data-across-borders,"June 15, 2026",Sharing Data Across Borders,Panel Moderator
Gaëlle Leroux,Preregistration Enhances Creativity in Science,/tabletalk/#preregistration-creativity,"June 15, 2026",Preregistration Enhances Creativity in Science,Table Talk Moderator
Gaëlle Leroux,The Buffet of Open Science,/tabletalk/#buffet-open-science,"June 15, 2026",The Buffet of Open Science,Table Talk Moderator
Chloe Page,How to Communicate Your Science to a Broader Audience,/panel/#communicate-science,"June 15, 2026",How to Communicate Your Science to a Broader Audience,Panel Moderator
Chloe Page,Career Journeys in Open Science,/panel/#career-journeys,"June 17, 2026",Career Journeys in Open Science,Panel Moderator
Johanna Bayer,Using LLMs to Lower the Barrier to Entry to Open Science,/tabletalk/#llms-open-science,"June 16, 2026",Using LLMs to Lower the Barrier to Entry to Open Science,Table Talk Moderator
Johanna Bayer,Ten years of OSSIG - historical perspectives on open science at OHBM,/panel/#ten-years-ossig,"June 17, 2026","Ten years of OSSIG - historical perspectives on open science at OHBM",Panel Moderator
Eva Van Heese,Preregistration Enhances Creativity in Science,/tabletalk/#preregistration-creativity,"June 15, 2026",Preregistration Enhances Creativity in Science,Table Talk Moderator
Eva Van Heese,The Buffet of Open Science,/tabletalk/#buffet-open-science,"June 15, 2026",The Buffet of Open Science,Table Talk Moderator
Felix Hoffstaeder,"What’s/who’s missing in the Era of Large Data?",/tabletalk/#missing-large-data,"June 15, 2026","What’s/who’s missing in the Era of Large Data?",Table Talk Moderator
Claude Bajada,"Open Brains, Tight Laws: The GDPR and Europe’s Next Steps",/panel/#sharing-data-across-borders,"June 15, 2026",Sharing Data Across Borders,Panel Talk
Anita Jwa,Empirical Analyses of Privacy Risks in Neuroimaging Data Sharing,/panel/#sharing-data-across-borders,"June 15, 2026",Sharing Data Across Borders,Panel Talk
Oliver Gray,"The global access, use, and impact of UK Biobank",/panel/#sharing-data-across-borders,"June 15, 2026",Sharing Data Across Borders,Panel Talk
Udunna Anazodo,Implementing Open Neuroimaging in Africa.,/panel/#sharing-data-across-borders,"June 15, 2026",Sharing Data Across Borders,Panel Talk
Fernanda Ribeiro,"The Talks I Can't Forget: Why Enthusiasm Matters",/panel/#communicate-science,"June 15, 2026",How to Communicate Your Science to a Broader Audience,Panel Talk
Ashley Tyrer,From Experts to Everyone: Making Science Accessible,/panel/#communicate-science,"June 15, 2026",How to Communicate Your Science to a Broader Audience,Panel Talk
Yohan Yee,"How not to Communicate Your Science to a Broader Audience",/panel/#communicate-science,"June 15, 2026",How to Communicate Your Science to a Broader Audience,Panel Talk
Tiffany Love,Bridging Neuroscience and Industry Communication,/panel/#communicate-science,"June 15, 2026",How to Communicate Your Science to a Broader Audience,Panel Talk
Cassandra Gould Van Praag,Open Science brought passion and purpose to my career,/panel/#career-journeys,"June 17, 2026",Career Journeys in Open Science,Panel Talk
Stephanie Noble,Beyond the degree: career paths & collaborative science for early career researchers,/panel/#career-journeys,"June 17, 2026",Career Journeys in Open Science,Panel Talk
Cameron Craddock,My open science career.,/panel/#career-journeys,"June 17, 2026",Career Journeys in Open Science,Panel Talk
